0,40
1,31
2,41
3,11
4,0
5,29
6,42
7,19
8,19
9,2
10,0
11,12
12,3
13,31
14,8
15,14
16,6
17,5
18,24
19,19
20,14
21,0
22,11
23,42
24,30
25,26
26,2
27,24
28,7
29,0
30,10
31,6
32,2
33,22
34,10
35,22
36,2
37,29
38,22
39,26
40,20
41,0
42,6
43,40
44,51
45,39
46,76
47,51
48,19
49,2
50,55
51,0
52,5
53,0
54,2
55,40
56,20
57,5
58,5
59,3
60,40
61,17
62,39
63,5
64,59
65,0
66,13
67,39
68,19
69,19
70,12
71,12
72,5
73,2
74,4
75,14
76,1
77,7
78,27
79,25
80,20
81,51
82,85
83,79
84,56
85,63
86,56
87,48
88,5
89,75
90,17
91,63
92,55
93,42
94,22
95,33
96,18
97,3
98,5
99,18
100,0
101,21
102,27
103,16
104,47
105,0
106,27
107,57
108,16
109,28
110,12
111,22
112,18
113,4
114,24
115,24
116,12
117,30
118,33
119,7
120,6
121,52
122,59
123,11
124,52
125,37
126,113
127,22
128,6
129,106
130,105
131,15
132,25
133,19
134,51
135,0
136,19
137,3
138,11
139,36
140,16
141,47
142,26
143,20
144,16
145,19
146,12
147,17
148,20
149,7
150,2
151,32
152,6
153,0
154,0
155,6
156,19
157,2
158,12
159,3
160,22
