0,39
1,26
2,40
3,6
4,0
5,25
6,41
7,19
8,19
9,1
10,0
11,7
12,1
13,11
14,4
15,8
16,4
17,3
18,12
19,9
20,6
21,0
22,7
23,41
24,23
25,23
26,1
27,11
28,4
29,0
30,6
31,3
32,1
33,21
34,6
35,21
36,1
37,25
38,20
39,21
40,20
41,0
42,4
43,40
44,41
45,39
46,31
47,11
48,19
49,1
50,13
51,0
52,3
53,0
54,1
55,40
56,20
57,2
58,3
59,2
60,40
61,7
62,39
63,2
64,59
65,0
66,6
67,39
68,19
69,19
70,4
71,5
72,3
73,1
74,2
75,6
76,0
77,4
78,14
79,23
80,11
81,44
82,29
83,28
84,23
85,46
86,23
87,28
88,3
89,53
90,8
91,62
92,19
93,40
94,10
95,27
96,10
97,2
98,2
99,8
100,0
101,11
102,13
103,8
104,21
105,0
106,24
107,48
108,9
109,24
110,5
111,21
112,9
113,2
114,22
115,23
116,5
117,25
118,27
119,4
120,4
121,46
122,59
123,5
124,46
125,29
126,18
127,21
128,4
129,24
130,33
131,7
132,22
133,19
134,10
135,0
136,19
137,1
138,7
139,29
140,9
141,31
142,23
143,20
144,8
145,19
146,5
147,7
148,9
149,4
150,1
151,25
152,3
153,0
154,0
155,4
156,19
157,1
158,7
159,1
160,21
