0,47
1,49
2,51
3,29
4,4
5,45
6,52
7,27
8,24
9,8
10,11
11,34
12,23
13,36
14,29
15,33
16,23
17,20
18,41
19,28
20,20
21,11
22,25
23,53
24,32
25,38
26,12
27,32
28,16
29,3
30,19
31,21
32,16
33,35
34,22
35,38
36,23
37,47
38,38
39,33
40,26
41,9
42,26
43,42
44,49
45,41
46,42
47,24
48,21
49,19
50,29
51,10
52,14
53,8
54,13
55,45
56,26
57,21
58,21
59,16
60,45
61,24
62,45
63,21
64,63
65,7
66,22
67,52
68,35
69,22
70,23
71,20
72,26
73,14
74,22
75,23
76,23
77,29
78,43
79,40
80,35
81,50
82,58
83,57
84,34
85,57
86,36
87,47
88,20
89,70
90,33
91,73
92,46
93,55
94,31
95,46
96,35
97,16
98,15
99,29
100,5
101,37
102,41
103,36
104,51
105,20
106,42
107,64
108,37
109,46
110,25
111,40
112,30
113,21
114,42
115,39
116,23
117,44
118,49
119,30
120,27
121,64
122,68
123,30
124,64
125,52
126,37
127,40
128,23
129,45
130,49
131,28
132,44
133,24
134,25
135,8
136,24
137,21
138,35
139,49
140,30
141,52
142,38
143,31
144,31
145,23
146,25
147,29
148,33
149,21
150,21
151,40
152,19
153,3
154,4
155,25
156,30
157,14
158,30
159,19
160,37
